uniprot1	genesymbol1	geneid1	uniprot2	genesymbol2	geneid2	species	interaction_type	experiment
P11308	ERG	2078	Q9H0D6	XRN2	22803	human	0915:physical association; 0407:direct interaction	0096:pull down; 0004:affinity chromatography technology
Q15788	NCOA1	8648	P15036	ETS2	2114	human	0915:physical association	0004:affinity chromatography technology
P50221	MEOX1	4222	P50222	MEOX2	4223	human	0915:physical association	0004:affinity chromatography technology
O60264	SMARCA5	8467	P17676	CEBPB	1051	human	0915:physical association	0004:affinity chromatography technology
P17095	Hmga1	15361	P28033	Cebpb	12608	mouse	0915:physical association	0004:affinity chromatography technology
Q9QXT8	Kcnip3	56461	P56546	Ctbp2	13017	mouse	0915:physical association	0004:affinity chromatography technology
O43623	SNAI2	6591	Q00987	MDM2	4193	human	0915:physical association	0004:affinity chromatography technology
O14497	ARID1A	8289	Q969G3	SMARCE1	6605	human	0915:physical association; 0914:association	0019:coimmunoprecipitation; 0004:affinity chromatography technology
Q9C0B0	UNK	85451	Q13617	CUL2	8453	human	0915:physical association	0004:affinity chromatography technology
P49715	CEBPA	1050	P11473	VDR	7421	human	0915:physical association	0004:affinity chromatography technology
O15105	SMAD7	4092	Q9C0C9	UBE2O	63893	human	0915:physical association	0004:affinity chromatography technology
Q8N0Y2	ZNF444	55311	O14862	AIM2	9447	human	0914:association	0007:anti tag coimmunoprecipitation
Q13485	SMAD4	4089	P40424	PBX1	5087	human	0915:physical association	0364:inferred by curator
O95983	MBD3	53615	O60341	KDM1A	23028	human	0915:physical association; 0914:association; 0407:direct interaction	0006:anti bait coimmunoprecipitation; 0018:two hybrid; 0004:affinity chromatography technology
O75362	ZNF217	7764	O60341	KDM1A	23028	human	0915:physical association	0004:affinity chromatography technology
Q99JB6	Foxp3	20371	O88291	Zfp326	54367	mouse	0915:physical association	0004:affinity chromatography technology
P09874	PARP1	142	P14921	ETS1	2113	human	0914:association	0007:anti tag coimmunoprecipitation
Q03181	PPARD	5467	Q15648	MED1	5469	human	0915:physical association	0364:inferred by curator
Q61539	Esrrb	26380	Q8VDK3	Elf5	13711	mouse	0915:physical association	0004:affinity chromatography technology
P14859	POU2F1	5451	P29083	GTF2E1	2960	human	0915:physical association	0364:inferred by curator
Q00059	TFAM	7019	P05412	JUN	3725	human	0914:association	0006:anti bait coimmunoprecipitation
Q03181	PPARD	5467	P48443	RXRG	6258	human	0915:physical association; 0407:direct interaction	0018:two hybrid; 0004:affinity chromatography technology
P43694	GATA4	2626	Q9H5J0	ZBTB3	79842	human	0407:direct interaction	0018:two hybrid
Q14686	NCOA6	23054	Q15648	MED1	5469	human	0407:direct interaction	0096:pull down
