Aedes albopictus densovirus (isolate Boublik/1994)
Adeno-associated virus 2
Adeno-associated virus 2 (isolate Srivastava/1982)
Abacion magnum
Abaeis nicippe
Abax parallelepipedus
Abalistes stellaris
Abbottina rivularis
Abdopus aculeatus
Antarctic bacterium DS2-3R
Abelia chinensis
Abelmoschus ficulneus
Abelia grandiflora
Abelmoschus manihot
Abalone herpesvirus (isolate Abalone/Australia/Victoria/2009)
Abies alba
Abies balsamea
Abies beshanzuensis
Abies bracteata
Abies concolor
Abiotrophia defectiva
Abies firma
Abies fraseri
Abisara fylloides
Abies grandis
Abies holophylla
Abies homolepis
Abies koreana
Abies lasiocarpa
Abies magnifica
Abies mariesii
Abies nebrodensis
Abies nordmanniana
Abies sachalinensis
Abies veitchii
Ablepharus budaki
Ablennes hians
Ablepharus kitaibelii
Australian bat lyssavirus (isolate Bat/AUS/1996)
Australian bat lyssavirus (isolate Human/AUS/1998)
Abutilon mosaic virus (isolate West India)
Acute bee paralysis virus (strain Rothamsted)
Abrothrix andinus
Abrocoma bennettii
Abramis brama
Abronia graminea
Abrothrix jelskii
Abrothrix longipilis
Abrothrix olivaceus
Abrophyllum ornans
Abrus precatorius
Abraxas sylvata
Absidia glauca
Absidia spinosa
Abudefduf saxatilis
Abudefduf sexfasciatus
Abutilon theophrasti
Abudefduf vaigiensis
Acidianus bottle-shaped virus
Acidianus bottle-shaped virus (isolate Italy/Pozzuoli)
Abyssocottus korotneffi
Acanthophis antarcticus
Acanthoscelides argillaceus
Acanthospermum australe
Acanthurus bahianus
Acanthopagrus berda
Acanthidops bairdii
Acanthocobitis botia
Acanthaster brevispinus
Acanthopagrus butcheri
Acanthaluteres brownii
Acanthamoeba castellanii
Acanthurus coeruleus
Acanthurus chirurgus
Acantopsis choirorhynchos
Acanthorhodeus chankaensis
Acalypha californica
Acanthochitona crinita
Acacia confusa
Acanthosaura capra
Acanthosoma crassicaudum
Acartia clausii
Acanthophlebia cruentata
Acantholipes circumdata
Acar domingensis
Acanthus ebracteatus
Acanthodactylus erythrurus
Acanella eburnea
Acanthis flammea
Acanthoscurria gomesiana
Acar gradata
Acanthurus guttatus
Acanthis hornemanni
Acanthiza katherina
Acanthopagrus latus
Acanthurus leucosternon
Acanthurus lineatus
Acalolepta luxuriosa
Acaryochloris marina (strain MBIC 11017)
Acanthophippium mantinianum
Acanthemblemaria maria
Acacia mangium
Acaryochloris marina
Acacia myrtifolia
Acanthoscurria natalensis
Acanthurus nigricans
Acanthurus nigrofuscus
Acanthurus nigroris
Acanthoscelides obtectus
Acanthoscelides obvelatus
Acanthoscurria paulensis
Acartia pacifica
Acanthodiaptomus pacificus
Acanthodoris pilosa
Acanthaster planci
Acanthamoeba polyphaga
Acar plicata
Acalypha rhomboidea
Acanthoscurria rondoniae
Acanthagenys rufogularis
Acanthemblemaria aspera
Acanthopagrus schlegelii
Acanthophis rugosus
Acarus siro
Acanthemblemaria spinosa
Acanthocybium solandri
Acanthinucella spirata
Acanthophis sp. (strain Seram)
Acanthurus thompsoni
Acartia tonsa
Acanthurus triostegus
Acanthocardia tuberculata
Acanthopteroctetes unifascia
Acanthocheilonema viteae
Acalymma vittatum
Acarapis woodi
Accipiter cooperii
Accipiter gentilis
Accumulibacter phosphatis (strain UW-1)
Accipiter striatus
Acetobacter aceti
Acetabularia acetabulum
Acetothermus autotrophicum
Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)
Acer buergerianum
Acer campestre
Acentrogobius chlorostigmatoides
Acetabularia crenulata
